"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "HTML", "JSON", "Prisma", "Properties", "SQL", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\styles.ts", "TypeScript", -120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -138
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -3, -21
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\styles.ts", "TypeScript", -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -39
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -241, 0, 0, -7, -14, -262
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\styles.ts", "TypeScript", -275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -21, -301
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\infra\userProtected.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, -5, -21
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -100, 0, 0, -3, -2, -105
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\styles.ts", "TypeScript", -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -227
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -2, -89
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\styles.ts", "TypeScript", -127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -142
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -169, 0, 0, 0, -11, -180
